modalidade,nro_processo_licitatorio,nro_processo_adm,objeto,situacao,data,data_abertura,hora_abertura,total_registro_preco,valor_comprado,valor_estimado,itens,documentos,excel,municipio,fonte,coletado_em
Dispensa de Licitacao,09001/2026,15426,Aquisicao de Materiais de Seguranca e Protecao,encerrada,11/05/2026,:,"0,00","17.150,00","35.764,96",3,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Inexigibilidade,00001/2026,18832025,Contratacao de Servicos,encerrada,26/02/2026,:,"0,00","5.325.000,00","5.325.000,00",1,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Inexigibilidade,00002/2026,14982025,Contratacao de Servicos de Engenharia,encerrada,09/04/2026,:,"0,00","1.376.364,00","1.376.364,00",1,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Leilao Eletronico,00001/2026,13152025,Servicos em Geral,andamento,24/03/2026,15/04/2026,10:00,"0,00","0,00","0,00",1,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Pregao Eletronico,00001/2026,9812025,Contratacao de Servicos Especializados,encerrada,26/01/2026,10/03/2026,10:00,"0,00","16.758.288,46","23.205.154,65",2,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Pregao Eletronico,00002/2026,7092025,Aquisicao de Materiais para Tratamento de Agua,encerrada,05/02/2026,25/02/2026,10:00,"0,00","233.650,89","455.260,65",83,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Pregao Eletronico,00003/2026,14432025,Contratacao de Servicos,andamento,09/02/2026,27/02/2026,10:00,"0,00","0,00","344.680,00",1,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Pregao Eletronico,00004/2026,1722025,Aquisicao de Materiais Diversos,andamento,13/02/2026,04/03/2026,10:00,"0,00","0,00","296.341,70",20,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Pregao Eletronico,00005/2026,106/2025,Aquisicao de Madeiras em Geral,encerrada,25/02/2026,13/03/2026,10:00,"202.045,00","0,00","311.096,00",6,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Pregao Eletronico,00006/2026,2392025,Contratacao de Servicos de Engenharia,encerrada,06/03/2026,24/03/2026,10:00,"0,00","2.056.159,00","2.056.365,16",2,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Pregao Eletronico,00007/2026,14612025,Contratacao de Servicos de Engenharia,encerrada,12/03/2026,27/03/2026,10:00,"0,00","1.868.630,00","1.868.631,04",2,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Pregao Eletronico,00008/2026,46182024,Servico de Energia Eletrica,andamento,17/03/2026,01/04/2026,10:00,"0,00","0,00","78.847.920,54",1,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Pregao Eletronico,00010/2026,428/25,Contratacao de Servicos Especializados,andamento,29/04/2026,15/05/2026,10:00,"0,00","0,00","11.130.480,00",1,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Pregao Eletronico,00011/2026,18172025,Aquisicao de Hidrometro,em aberto,13/05/2026,28/05/2026,10:00,"0,00","0,00","5.538.100,00",2,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Pregao Eletronico,00012/2026,1733/26,Aquisicao de Cimento,em aberto,21/05/2026,09/06/2026,10:00,"0,00","0,00","207.000,00",2,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
