arquivo,ano,categoria,paginas,chars,tem_texto,fonte
balanco_previdenciario_2020_10_10_balanco_prevout20.pdf,2020,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2020_11_11_balanco_prevnov20.pdf,2020,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2020_12_12_balanco_prevdez20.pdf,2020,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2021_01_01_balanco_prevjan21.pdf,2021,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2021_02_02_balanco_prevfev21.pdf,2021,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2021_03_03_balanco_prevmar21.pdf,2021,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2021_04_04_balanco_prevabr21.pdf,2021,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2021_05_05_balanco_prevmai21.pdf,2021,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2021_06_06_balanco_prevjun21.pdf,2021,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2021_07_07_balanco_prevjul21.pdf,2021,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2021_08_08_balanco_prevago21.pdf,2021,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2021_09_09_balanco_prevset21.pdf,2021,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2021_10_10_balanco_prevout21.pdf,2021,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2021_11_11_balanco_prevnov21.pdf,2021,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2021_12_12_balanco_prevdez21.pdf,2021,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2022_01_01_balanco_prevjan22.pdf,2022,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2022_02_02_balanco_prevfev22.pdf,2022,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2022_03_03_balanco_prevmar22.pdf,2022,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2022_04_04_balanco_prevabr22.pdf,2022,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2022_05_05_balanco_prevmai22.pdf,2022,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2022_06_06_balanco_prevjun22.pdf,2022,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2022_07_07_balanco_prevjul22.pdf,2022,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2022_08_08_balanco_prevago22.pdf,2022,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2022_09_09_balanco_prevset22.pdf,2022,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2022_10_10_balanco_prevout22.pdf,2022,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
