arquivo,ano,categoria,paginas,chars,tem_texto,fonte
balanco_saude_2022_06_06_balanco_saujun22.pdf,2022,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2022_07_07_balanco_saujul22.pdf,2022,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2022_08_08_balanco_sauago22.pdf,2022,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2022_09_09_balanco_sauset22.pdf,2022,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2022_10_10_balanco_sauout22.pdf,2022,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2022_11_11_balanco_saunov22.pdf,2022,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2022_12_12_balanco_saudez22.pdf,2022,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2023_01_01_balanco_saujan23.pdf,2023,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2023_02_02_balanco_saufev23.pdf,2023,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2023_03_03_balanco_saumar23.pdf,2023,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2023_04_04_balanco_sauabr23.pdf,2023,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2023_05_05_balanco_saumai23.pdf,2023,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2023_06_06_balanco_saujun23.pdf,2023,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2023_07_07_balanco_saujul23.pdf,2023,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2023_08_08_balanco_sauago23.pdf,2023,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2023_09_09_balanco_sauset23.pdf,2023,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
