obra_id,contrato,cpl,objeto,secretaria,empresa_contratada,cnpj,cnpj_valido,valor_contrato,percentual_concluido,status,financiadora,previsao_conclusao,quantidade,logradouro,bairro,municipio,uf,cep
47,716/2022,303/2022,construção de uma creche tipo a - 10 salas padrão fnde no jardim itália,SEDU - Secretaria da Educação,CASAGRANDE SERVIÇOS E CONSTRUÇÕES LTDA,05592745000100,1,"6605349,82","100,00%",Ativo,Recurso Municipal,2024-04-23,1330.06 m²,Rua Arnaldo Januário Werneck,Jd. Itália,Sorocaba,SP,18103-364
48,680/2022,245/2022,construção de uma creche tipo a - 5 salas padrão fnde no conjunto habitacional júlio de mesquita filho,SEDU - Secretaria da Educação,HONOS CONSTRUÇÕES E SERVIÇOS EIRELI,28703928000151,1,"3599878,00","96,14%",Ativo,RECURSO FNDE,2025-06-28,752.02 m²,Avenida Luiz Gonzaga do Nascimento Filho,Julio de Mesquita Filho,Sorocaba,SP,18053-010
49,831/2022,244/2022,construção de uma creche tipo a - 10 salas padrão fnde no jardim santa rosa,SEDU - Secretaria da Educação,HONOS CONSTRUÇÕES E SERVIÇOS EIRELI,28703928000151,1,"6796520,25","98,96%",Ativo,RECURSO FNDE,2025-07-27,1330.06 m²,Rua Romão Fernandes,Jd. Santa Rosa,Sorocaba,SP,18071-446
50,684/2022,304/2022,construção de uma creche tipo a - 10 salas padrão fnde no jardim são bento,SEDU - Secretaria da Educação,TMS COMERCIAL CONSTRUTORA LTDA,55190417000156,1,"6749205,12","98,76%",Ativo,Recurso Municipal,2024-03-28,1330.06 m²,Rua Alcino Oliveira Rosa,Pq. São Bento,Sorocaba,SP,18072-660
51,438/2023,621/2022,construção de uma escola com 27 salas e ginásio coberto no bairro parque são bento.,SEDU - Secretaria da Educação,HONOS CONSTRUÇÕES E SERVIÇOS EIRELI,28703928000151,1,"34729252,36","30,78%",Ativo,Recurso Municipal,2026-07-18,6427.90 m²,Rua Roque Nunes,Parque São Bento,Sorocaba,SP,18072-062
52,452/2023,221/2023,implantação de sistema de lazer no jd. dona teresa - bairro do éden.,SERPO - Secretaria de Serviços Públicos e Obras,"W2 MANUTENÇÕES, CONSTRUÇÕES E REFORMAS",07335981000177,1,"164367,73","100,00%",Ativo,Convênio Estadual,2024-07-29,0.00 m²,Estrada Josefa Roz Carmona de Lima,Jd. Dona Teresa,Sorocaba,SP,18103-063
53,450/2023,233/2023,implantação de centro esportivo no jardim amália - bairro do éden,SERPO - Secretaria de Serviços Públicos e Obras,"W2 MANUTENÇÕES, CONSTRUÇÕES E REFORMAS",07335981000177,1,"338162,00","0,00%",Ativo,Convênio Estadual,2024-07-09,0.00 m²,Rua Tenente Jose Ribeiro,Jardim Amalia,Sorocaba,SP,18103-645
54,678/2022,241/2022,construção de uma creche tipo a - 10 salas padrão fnde no jardim villagio milano,SEDU - Secretaria da Educação,CASAGRANDE SERVIÇOS E CONSTRUÇÕES LTDA,05592745000100,1,"6095242,97","99,99%",Ativo,RECURSO FNDE,2024-11-11,1330.06 m²,Alameda Ravenna,Vilaggio Milano,Sorocaba,SP,18055-215
55,261/2023,529/2021,"reforma de 13 unidades escolares pertencentes à secretaria de educação , para adequações de acessibilidade.",SEDU - Secretaria da Educação,VIVA CONSTRUÇÕES E SERVIÇOS LTDA,08756015000196,1,"5245454,09","53,19%",Ativo,Recurso Municipal,2025-10-13,0.00 m²,Rua Paschoal Tulio,Vila Barcelona,Sorocaba,SP,18025-725
56,047/2024,537/2021,serviços de pavimentação asfáltica e construção de obra de arte (ponte) compondo o complexo viário de ligação entre os bairros parque são bento e residencial carandá (financiamento internacional),"CADI - Centro de Aceleração, Desenvolvimento e Inovação",CONSÓRCIO LIGAÇÃO SÃO BENTO-CARANDÁ,55689268000174,1,"43812247,73","47,99%",Ativo,NDB,None,0.00 m,Rua Waldemar Rosa dos Santos,Jardim Carandá,Sorocaba,SP,18073-109
