ibge,uf,regiao,nome,key
3106002,MG,SE,Bela Vista de Minas,bela_vista_de_minas
2101772,MA,NE,Bela Vista do Maranhão,bela_vista_do_maranhao
4102802,PR,S,Bela Vista do Paraíso,bela_vista_do_paraiso
2201556,PI,NE,Bela Vista do Piauí,bela_vista_do_piaui
4202131,SC,S,Bela Vista do Toldo,bela_vista_do_toldo
2101731,MA,NE,Belágua,belagua
1501402,PA,N,Belém,belem
2501906,PB,NE,Belém,belem
2700805,AL,NE,Belém,belem
2601508,PE,NE,Belém de Maria,belem_de_maria
2502003,PB,NE,Belém do Brejo do Cruz,belem_do_brejo_do_cruz
