coletado_em,categoria,subcategoria,ano,periodo,titulo,url_pagina,url_arquivo,arquivo_raw,tamanho_bytes,status_download
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2017,2017,Balancete 2017,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_2017.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2017_balanco_patrimonial_2017.pdf,5707,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2016,2016,Balancete 2016,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_2016.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2016_balanco_patrimonial_2016.pdf,5682,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2015,2015,Balancete 2015,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_2015.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2015_balanco_patrimonial_2015.pdf,5730,baixado
2026-05-23T14:39:31,orcamento,balancete_orcamentario,2026,2026-01,Balancete Janeiro/2026,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Orcam_Janeiro_2026.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_orcamentario/balancete_orcamentario_2026-01_balanco_orcam_janeiro_2026.pdf,8450,baixado
2026-05-23T14:39:31,orcamento,balancete_orcamentario,2026,2026-02,Balancete Fevereiro/2026,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Orcam_Fevereiro_2026.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_orcamentario/balancete_orcamentario_2026-02_balanco_orcam_fevereiro_2026.pdf,8444,baixado
2026-05-23T14:39:31,orcamento,balancete_orcamentario,2026,2026-03,Balancete Março/2026,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Orcam_Março_2026.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_orcamentario/balancete_orcamentario_2026-03_balanco_orcam_marco_2026.pdf,8451,baixado
2026-05-23T14:39:31,orcamento,balancete_orcamentario,2025,2025-01,Balancete Janeiro/2025,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Orcam_Janeiro_2025.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_orcamentario/balancete_orcamentario_2025-01_balanco_orcam_janeiro_2025.pdf,8612,baixado
2026-05-23T14:39:31,orcamento,balancete_orcamentario,2025,2025-02,Balancete Fevereiro/2025,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Orcam_Fevereiro_2025.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_orcamentario/balancete_orcamentario_2025-02_balanco_orcam_fevereiro_2025.pdf,8675,baixado
2026-05-23T14:39:31,orcamento,balancete_orcamentario,2025,2025-03,Balancete Março/2025,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Orcam_Marco_2025.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_orcamentario/balancete_orcamentario_2025-03_balanco_orcam_marco_2025.pdf,8652,baixado
2026-05-23T14:39:31,orcamento,balancete_orcamentario,2025,2025-04,Balancete Abril/2025,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Orcam_Abril_2025.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_orcamentario/balancete_orcamentario_2025-04_balanco_orcam_abril_2025.pdf,8686,baixado
